"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","470 pF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2,C3","2","1 uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1,D2,D3,D4","4","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"J1","1","Conn_02x09_Top_Bottom","","","","Connector_PinSocket_2.54mm:PinSocket_2x09_P2.54mm_Horizontal","~"
"J2","1","Canais-eletrodos","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J5","1","in","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","~"
"J6","1","In_1 select","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J7","1","In_2 select","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J8","1","out","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~"
"R1,R8","2","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R3,R4,R5","4","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RC1,RC2,RC3,RC4,RC5,RC6,RC7,RC8,RC9,RC10","10","R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"Rfg_1,Rfg_2","2","51k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1,U2","2","CD4066BE","","","","Package_DIP:DIP-14_W7.62mm","https://www.ti.com/lit/ds/symlink/cd4066b.pdf"
"U1-buffer1,U2-gain1,U3-Cond-DIP1","3","AD828AN","","","","AD828:N_8_ADI","AD828AN"
"U4-Cond-SMD1,U5-buffer1,U6-gain1","3","AD8056ARZ","","","","AD8056:R_8_ADI","AD8056ARZ"
